order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating,Revenue,discount_band,order_value,price_tier,discount_value,year,month,year_month
ORD100000,30-01-2021,ASICS,Model-370,Running,Unisex,8,Black,162,15,137.7,1,137.7,Card,Retail Store,Germany,Low,4.6,137.7,11_to_20,137.7,Mid,24.3,2021,1,2021-01
ORD100001,05-10-2026,Reebok,Model-314,Lifestyle,Men,8,Grey,80,5,76,3,228,Card,Online,USA,Low,3.9,228,0_to_10,228,Budget,4,2026,10,2026-10
ORD100002,12-11-2023,ASICS,Model-763,Lifestyle,Men,8,Black,176,15,149.6,4,598.4,Cash,Retail Store,India,Medium,3,598.4,11_to_20,598.4,Premium,26.4,2023,11,2023-11
ORD100003,29-08-2026,Reebok,Model-905,Basketball,Women,7,White,61,15,51.85,2,103.7,Card,Retail Store,India,High,3.4,103.7,11_to_20,103.7,Budget,9.15,2026,8,2026-08
ORD100004,09-11-2019,Nike,Model-413,Training,Men,11,Black,80,0,80,4,320,Cash,Online,USA,Medium,3,320,0_to_10,320,Budget,0,2019,11,2019-11
ORD100005,27-08-2021,Nike,Model-158,Gym,Unisex,7,Grey,148,0,148,3,444,Wallet,Retail Store,UK,Low,3.1,444,0_to_10,444,Premium,0,2021,8,2021-08
ORD100006,21-02-2019,Reebok,Model-786,Gym,Women,11,Black,74,30,51.8,2,103.6,Bank Transfer,Online,UAE,High,3.4,103.6,21_to_30,103.6,Budget,22.2,2019,2,2019-02
ORD100007,17-05-2020,New Balance,Model-604,Lifestyle,Women,8,White,114,15,96.9,4,387.6,Bank Transfer,Online,USA,High,4.7,387.6,11_to_20,387.6,Mid,17.1,2020,5,2020-05
ORD100008,30-03-2022,New Balance,Model-266,Running,Unisex,7,Grey,194,20,155.2,1,155.2,Bank Transfer,Retail Store,UK,High,4.9,155.2,11_to_20,155.2,Premium,38.8,2022,3,2022-03
ORD100009,11-03-2026,Nike,Model-876,Gym,Unisex,7,Black,119,30,83.3,2,166.6,Card,Retail Store,USA,Medium,3.2,166.6,21_to_30,166.6,Budget,35.7,2026,3,2026-03
ORD100010,06-04-2022,Adidas,Model-554,Running,Men,9,Blue,143,15,121.55,3,364.65,Card,Online,UAE,Medium,4,364.65,11_to_20,364.65,Mid,21.45,2022,4,2022-04
ORD100011,20-05-2020,Nike,Model-661,Gym,Men,9,Blue,94,30,65.8,1,65.8,Bank Transfer,Online,Germany,High,3.6,65.8,21_to_30,65.8,Budget,28.2,2020,5,2020-05
ORD100012,20-09-2025,Puma,Model-871,Lifestyle,Men,11,White,193,30,135.1,2,270.2,Wallet,Retail Store,UAE,Low,3.1,270.2,21_to_30,270.2,Mid,57.9,2025,9,2025-09
